Asignatura	Promedio GCB 2023	Promedio Mundial 2023	Promedio Nov 2022
ESPAÑOL A NM	5.18	5.51	5.20
ESPAÑOL A NS	4.90	4.72	4.92
INGLÉS B NM	5.88	5.64	6.47
INGLÉS B NS	5.86	5.70	5.75
FRANCÉS AB NM	4.80	4.79	4.71
POLÍTICA GLOBAL NM	4.79	4.82	4.04
POLÍTICA GLOBAL NS	4.68	5.11	5.03
HISTORIA NM	3.50	4.66	4.40
FÍSICA NM	3.65	4.21	3.00
FÍSICA NS	4.17	4.81	3.68
QUÍMICA NM	2.29	4.10	2.88
QUÍMICA NS	2.53	4.57	2.92
BIOLOGÍA NS	4.08	4.40	3.92
COMPUTER SCIENCE NM	3.89	3.94	-
MATEMÁTICAS NM	3.36	4.61	3.78
MATEMÁTICAS NS	3.43	4.88	4.21
